"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 03 07:08:01 UTC 2025","Fri Jan 03 07:08:02 UTC 2025","908","chromium","pet-service.test.ts","Test suite for Pet Service with CRUD operations","","","Update pet name",""
"passed","Fri Jan 03 07:08:01 UTC 2025","Fri Jan 03 07:08:02 UTC 2025","638","chromium","pet-service.test.ts","Test suite for Pet Service with CRUD operations","","","Create new pet",""
"passed","Fri Jan 03 07:08:01 UTC 2025","Fri Jan 03 07:08:01 UTC 2025","555","chromium","pet-service.test.ts","Test suite for Pet Service with CRUD operations","","","Get pet by status",""
"passed","Fri Jan 03 07:08:01 UTC 2025","Fri Jan 03 07:08:02 UTC 2025","753","chromium","pet-service.test.ts","Test suite for Pet Service with CRUD operations","","","Delete pet by id",""
